,ISBN,title,author,year,publisher,alt_title,alt_author,correct_author,alt_first_author,viaf_id,viaf_name,QID,sexuality,country,language,religion,gender,ethnicity,birthyear,deathyear,label,ISBN_alt
9005,0020198817,The GREAT GATSBY (A Scribner Classic),F. Scott Fitzgerald,1992,Scribner Paper Fiction,The Great Gatsby,Francis Scott Fitzgerald,Francis Scott Fitzgerald,Francis Scott Fitzgerald,100254195,"Francis Scott Fitzgerald, 1896-1940",Q93354,,United States of America,English,Catholic Church,male,,1896.0,1940.0,F. Scott Fitzgerald,185326041X
9006,0140001409,Cold Comfort Farm,Stella Gibbons,1977,Penguin USA,Cold Comfort Farm,Stella Gibbons,Stella Gibbons,Stella Gibbons,44469306,"Stella Gibbons, 1902-1989",Q1252645,,United Kingdom,,,female,,1902.0,1989.0,Stella Gibbons,014018869X
9016,0812520475,Eon : A Novel (Eon),Greg Bear,1991,Tor Science Fiction,Eon,Greg Bear,Greg Bear,Greg Bear,51707302,"Greg Bear, 1951-",Q317491,,United States of America,English,,male,,1951.0,,Greg Bear,0812520475
9019,042510107X,Red Storm Rising,Tom Clancy,1997,Berkley Publishing Group,Red Storm Rising,Tom Clancy,Tom Clancy,Tom Clancy,108842694,"Tom Clancy, 1947-2013",Q105167,,United States of America,English,Catholic Church,male,Irish people,1947.0,2013.0,Tom Clancy,042510107X
9024,0312140908,The Invisible Circus : A Novel,Jennifer Egan,1996,Picador,The Invisible Circus,Jennifer Egan,Jennifer Egan,Jennifer Egan,56717951,"Jennifer Egan, 1962-",Q264283,,United States of America,,,female,,1962.0,,Jennifer Egan,0312140908
9026,043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic,,,,,116796842,"J.K. Rowling, 1965-",Q34660,,United Kingdom,English,Anglicanism,female,English people,1965.0,,J. K. Rowling,043936213X
9027,0345432401,Omerta,Mario Puzo,2001,Ballantine Books,Omerta,Mario Puzo,Mario Puzo,Mario Puzo,131948,"Mário Puzo, 1920-1999",Q182870,,United States of America,English,,male,,1920.0,1999.0,Mario Puzo,0345432401
9031,0671876570,The Ship Who Won,Anne McCaffrey,1995,Baen,The Ship Who Won,Anne McCaffrey|Jody Lynn Nye,Anne McCaffrey,Anne McCaffrey,110586836,"Anne McCaffrey, 1926-2011",Q233046,,"United States of America,Republic of Ireland",,,female,,1926.0,2011.0,Anne McCaffrey,0671876570
9033,0671798782,DIANA: HER TRUE STORY : DIANA: HER TRUE STORY,Andrew Morton,1992,Pocket,Diana,Andrew Morton,Andrew Morton,Andrew Morton,22238479,"Andrew Morton, 1953-",Q357470,,United Kingdom,,,male,,1953.0,,Andrew Morton,068485080X
9042,0061061433,Year's Best SF 7,David G. Hartwell,2002,Eos,Year's Best SF 7,David G. Hartwell|Kathryn Cramer,David G. Hartwell,David G. Hartwell,33278380,David G Hartwell,Q5233934,,United States of America,,,male,,1941.0,2016.0,David G. Hartwell,0061061433
9045,0060973617,Up the Down Staircase,Bel Kaufman,1991,Perennial,Up the Down Staircase,Bel Kaufman,Bel Kaufman,Bel Kaufman,40651319,"Bel Kaufman, 1911-2014",Q2654502,,United States of America,English,,female,Jewish people,1911.0,2014.0,Bel Kaufman,0060973617
9056,0452283027,Farm Fatale: A Comedy of Country Manors,Wendy Holden,2002,Plume Books,Farm Fatale,Wendy Holden,Wendy Holden,Wendy Holden,163020838,"Wendy Holden, 1965-",Q20631225,,United Kingdom,,,female,,1965.0,,Wendy Holden,0452283027
9074,0425187055,"Tom Clancy's Power Plays: Cutting Edge (Power Plays, 6)",Tom Clancy,2002,Berkley Publishing Group,Cutting Edge,Tom Clancy|Martin H. Greenberg|Jerome Preisler,Tom Clancy,Tom Clancy,108842694,"Tom Clancy, 1947-2013",Q105167,,United States of America,English,Catholic Church,male,Irish people,1947.0,2013.0,Tom Clancy,0425187055
9084,0446607258,Mythology : Timeless Tales of Gods and Heroes,Edith Hamilton,1999,Warner Books,Mythology,Edith Hamilton,Edith Hamilton,Edith Hamilton,9967846,"Edith Hamilton, 1867-1963",Q77608,,"Germany,United States of America",,,female,,1867.0,1963.0,Edith Hamilton,0451628039
9091,0375760903,The Coffee Trader : A Novel (Ballantine Reader's Circle),DAVID LISS,2004,Ballantine Books,The Coffee Trader,David Liss,David Liss,David Liss,85776347,"David Liss, 1966-",Q1175302,,United States of America,English,,male,,1966.0,,David Liss,0375760903
9111,0375726349,The Human Stain : A Novel,PHILIP ROTH,2001,Vintage,The Human Stain,Philip Roth,Philip Roth,Philip Roth,100235370,"Philip Roth, 1933-2018",Q187019,,United States of America,,"Judaism,atheism",male,American Jews,1933.0,2018.0,Philip Roth,0375726349
9118,0399151648,Kate Remembered,A. Scott Berg,2003,Putnam Publishing Group,Asking Questions,Seymour Sudman,,Seymour Sudman,7435812,A. Scott Berg,Q15496884,,United States of America,,,male,,1949.0,,A. Scott Berg,0399151648
9130,0373250274,See Jane Date,Melissa Senate,2003,Red Dress Ink,See Jane Date,Melissa Senate,Melissa Senate,Melissa Senate,22369423,Melissa Senate,Q26387032,,United States of America,,,female,,1965.0,,Melissa Senate,0373250274
9131,0345469674,Girls' Poker Night,JILL DAVIS,2004,Ballantine Books,Girls' Poker Night,Jill Davis,Jill Davis,Jill Davis,5990824,"Jill Davis American author of screenplays, television pilots, and short stories",Q6192797,,United States of America,,,female,,1966.0,,Jill Davis,081296683X
9133,0312966806,Tell Me Lies (Tell Me Lies),Jennifer Crusie,1999,St. Martin's Press,Tell Me Lies,Jennifer Crusie,Jennifer Crusie,Jennifer Crusie,220056218,Jennifer Crusie,,,,,,,,,,,0312966806
9134,0446692298,Fat Girls and Lawn Chairs,Cheryl Peck,2004,Warner Books,Fat Girls and Lawn Chairs,Cheryl Peck,Cheryl Peck,Cheryl Peck,60546322,Cheryl Peck,,,,,,,,,,,0446692298
9146,1551667436,Strange Bedpersons,Jennifer Crusie,2003,Mira,Strange Bedpersons,Jennifer Crusie,Jennifer Crusie,Jennifer Crusie,220056218,Jennifer Crusie,,,,,,,,,,,1551667436
9153,0446613053,The Crush,Sandra Brown,2003,Warner Books,The Crush,Sandra Brown,Sandra Brown,Sandra Brown,114156159,"Sandra Brown, 1948-",Q258096,,United States of America,,,female,,1948.0,,Sandra Brown,0446613053
9157,075820230X,Chocolate Chip Cookie Murder (Hannah Swensen Mysteries (Paperback)),Joanne Fluke,2001,Kensington Publishing Corporation,Chocolate Chip Cookie Murder,Joanne Fluke,Joanne Fluke,Joanne Fluke,31188823,"Joanne Fluke, 1943-",Q6206118,,United States of America,,,female,,1943.0,,Joanne Fluke,075820230X
9158,055357258X,The Last Suppers,DIANE MOTT DAVIDSON,1995,Crimeline,The Last Suppers,Diane Mott Davidson,Diane Mott Davidson,Diane Mott Davidson,192095393,Diane Mott Davidson,Q1208990,,United States of America,,,female,,1949.0,,Diane Mott Davidson,055357258X
9162,0451192311,Eat Drink and Be Wary: A Pennsylvania Dutch Mystery With Recipes (PennDutch Mysteries),Tamar Myers,1998,Signet Book,"Eat, Drink, and be Wary",Tamar Myers,Tamar Myers,Tamar Myers,42529088,Tamar Myers,,,,,,,,,,,0451192311
9167,0688177859,"Ahab's Wife: Or, The Star-Gazer: A Novel",Sena Jeter Naslund,2000,Perennial,Ahab's Wife,Sena Jeter Naslund,Sena Jeter Naslund,Sena Jeter Naslund,42763799,Sena Jeter Naslund,Q16106027,,United States of America,,,female,,1942.0,,Sena Jeter Naslund,0688171877
9169,0446607274,Angels Flight (Detective Harry Bosch Mysteries),Michael Connelly,2000,Warner Books,Angels Flight,Michael Connelly,Michael Connelly,Michael Connelly,19745715,"Michael Connelly, 1956-",Q313193,,United States of America,"English,American English",,male,,1956.0,,Michael Connelly,0446607274
9185,0553573136,Couplehood,PAUL REISER,1995,Bantam,Couplehood,Paul Reiser,Paul Reiser,Paul Reiser,59284041,"Paul Reiser, 1957-",Q430922,,United States of America,English,,male,American Jews,1957.0,,Paul Reiser,0553096834
9197,0140075623,Stones for Ibarra (Penguin Contemporary American Fiction Series),Harriet Doerr,1988,Penguin Books,Stones for Ibarra,Harriet Doerr,Harriet Doerr,Harriet Doerr,84475099,Harriet Doerr,Q5664087,,United States of America,,,female,,1910.0,2002.0,Harriet Doerr,0140075623
9199,0609810103,Diary of a Manhattan Call Girl,Tracy Quan,2003,Three Rivers Press (CA),The Diary of a Manhattan Call Girl,Tracy Quan,Tracy Quan,Tracy Quan,74788966,Tracy Quan,,,,,,,,,,,0609810103
9202,0451204530,Code to Zero,Ken Follett,2001,Signet Book,,,,,64005683,"Ken Follett, 1949-",Q210669,,"United Kingdom,Wales",,,male,,1949.0,,Ken Follett,0451204530
9212,006098824X,Getting Over It,Anna Maxted,2001,Regan Books,Getting Over It,Anna Maxted,Anna Maxted,Anna Maxted,171443042,"Anna Maxted, 1969-",Q4767329,,,,,female,,1969.0,,Anna Maxted,006098824X
9216,0060505885,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002,Perennial,The Scandalous Summer of Sissy LeBlanc,Loraine Despres,Loraine Despres,Loraine Despres,11650014,Loraine Despres,,,,,,,,,,,0060505885
9219,0515116068,Hidden Riches,Nora Roberts,2004,Jove Books,Hidden Riches,Nora Roberts,Nora Roberts,Nora Roberts,66448023,"Nora Roberts, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0515116068
9254,0679879242,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1996,Knopf Books for Young Readers,The Golden Compass,Philip Pullman,Philip Pullman,Philip Pullman,115199438,"Philip Pullman, 1946-",Q190220,,United Kingdom,,atheism,male,,1946.0,,Philip Pullman,037582345X
9257,0451203054,Praying for Sleep,Jeffrey Deaver,2001,Signet Book,Praying for Sleep,Jeffery Deaver,Jeffery Deaver,Jeffery Deaver,98682359,"Jeffery Deaver, 1950-",Q358188,,United States of America,,,male,,1950.0,,Jeffery Deaver,0451181468
9259,0316779989,Holidays on Ice: Stories,David Sedaris,1997,"Little, Brown",Holidays on Ice,David Sedaris,David Sedaris,David Sedaris,8230168,"david Sedaris, 1956-",Q1176577,,United States of America,,,male,,1956.0,,David Sedaris,0316779989
9261,0446603716,Hide &amp; Seek,James Patterson,1996,Warner Books,Hide & Seek,James Patterson,James Patterson,James Patterson,22272314,"James Patterson, 1947-",Q311671,,United States of America,English,,male,,1947.0,,James Patterson,0446603716
9262,0380726289,"Darkness, Take My Hand (Patrick Kenzie/Angela Gennaro Novels)",Dennis Lehane,1997,HarperTorch,"Darkness, Take My Hand",Dennis Lehane,Dennis Lehane,Dennis Lehane,10004693,Dennis Lehane,Q311744,,United States of America,,,male,,1965.0,,Dennis Lehane,0380726289
9263,0440193613,Wanderlust,Danielle Steel,1987,Dell,Wanderlust,Danielle Steel,Danielle Steel,Danielle Steel,100238676,"Danielle Steel, 1947-",Q72653,,United States of America,English,,female,,1947.0,,Danielle Steel,0440193613
9265,0743418166,Good in Bed,Jennifer Weiner,2001,Atria,Good in Bed,Jennifer Weiner,Jennifer Weiner,Jennifer Weiner,24815905,"Jennifer Weiner, 1970-",Q328338,,United States of America,,,female,,1970.0,,Jennifer Weiner,0743418174
9266,0440235774,Looking Back,Belva Plain,2002,Dell Publishing Company,Looking Back,Belva Plain,Belva Plain,Belva Plain,168992130,"Belva Plain, 1915-2010",Q639041,,United States of America,,,female,,1915.0,2010.0,Belva Plain,0440235774
9268,0515133418,Summer in Eclipse Bay,Jayne Ann Krentz,2002,Jove Books,Summer in Eclipse Bay,Jayne Ann Krentz,Jayne Ann Krentz,Jayne Ann Krentz,101763002,"Jayne Ann Krentz, 1948-",,,,,,,,,,,0515133418
9269,0743460529,Daddy's Little Girl,Mary Higgins Clark,2003,Pocket,Daddy's Little Girl,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0743206045
9270,0140386335,The Neverending Story,Michael Ende,1996,Puffin Books,The Neverending Story,Michael Ende,Michael Ende,Michael Ende,34456245,"Michael Ende, 1929-1995",Q76498,,Germany,German,,male,Germans,1929.0,1995.0,Michael Ende,0140317937
9272,0373825013,"Whirlwind (Tyler, Book 1)",Nancy Martin,1992,Harlequin,Whirlwind,Nancy Martin,Nancy Martin,Nancy Martin,16597948,"Nancy Martin, 1953-",Q17409404,,,,,female,,1953.0,,Nancy Martin,0373825013
9273,0373825021,"Tyler #2 Bright Hopes (Tyler, No. 2)",Pat Warren,1992,Harlequin,Bright Hopes,Pat Warren,Pat Warren,Pat Warren,85586400,"Pat Warren, 1936-",Q7144103,,,,,female,,1936.0,,Pat Warren,0373825021
9276,0345359321,Travels,Michael Crichton,1989,Ballantine Books,Travels,Michael Crichton,Michael Crichton,Michael Crichton,89578936,"Michael Crichton, 1942-2008",Q172140,,United States of America,,deism,male,,1942.0,2008.0,Michael Crichton,0345359321
9280,0140131612,Lake Wobegon Days (Wisconsin),Garrison Keillor,1995,Penguin Books,Lake Wobegon Days,Garrison Keillor,Garrison Keillor,Garrison Keillor,79812213,Garrison Keillor,Q183031,,United States of America,,,male,,1942.0,,Garrison Keillor,0140099832
9284,0446609951,The Letter of the Law,Tim Green,2001,Warner Books,The Letter of the Law,Tim Green,Tim Green,Tim Green,85514681,"Tim Green, 1963-",Q2773687,,United States of America,,,male,,1963.0,,Tim Green,0446609951
9285,0451157443,Carrie,Stephen King,1994,Signet Book,Carrie,Stephen King,Stephen King,Stephen King,97113511,"Stephen King, 1947-",Q39829,,United States of America,English,,male,,1947.0,,Stephen King,0451157443
9289,0671867083,REMEMBER ME,Mary Higgins Clark,1994,Simon &amp; Schuster,Remember Me,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671867083
9290,0446605360,Twanged,Carol Higgins Clark,1999,Warner Books,,,,,76393464,"Carol Higgins Clark, 1956-",Q2939843,,United States of America,English,,female,,1956.0,,Carol Higgins Clark,0446605360
9291,0671741209,Stranger Is Watching,Mary Higgins Clark,1991,Pocket,Stranger Is Watching,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671741209
9293,0671880314,Schindler's List,Thomas Keneally,1993,Touchstone,Schindler's List,Thomas Keneally,Thomas Keneally,Thomas Keneally,41842145,"Thomas Keneally, 1935-",Q298334,,Australia,English,Catholicism,male,Australians,1935.0,,Thomas Keneally,0140067841
9294,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday,A Painted House,John Grisham,John Grisham,John Grisham,7449742,"John Grisham, 1955-",Q106465,,United States of America,English,Southern Baptist Convention,male,,1955.0,,John Grisham,044023722X
9312,0380977737,Resort To Murder: A Henrie O Mystery,Carolyn G. Hart,2001,William Morrow &amp; Company,Resort to Murder,Carolyn Hart,Carolyn Hart,Carolyn Hart,96709137,Carolyn Hart American mystery writer,Q3595068,,United States of America,,,female,,1936.0,,Carolyn Hart,0380977737
9316,038549730X,The Vine of Desire: A Novel,Chitra Banerjee Divakaruni,2003,Anchor Books/Doubleday,The Vine of Desire,Chitra Banerjee Divakaruni,Chitra Banerjee Divakaruni,Chitra Banerjee Divakaruni,249264469,"Chitra Banerjee Divakaruni, 1956-",Q2627089,,"United States of America,India",,,female,,1956.0,,Chitra Banerjee Divakaruni,038549730X
9318,0812967240,It's My F---ing Birthday : A Novel,MERRILL MARKOE,2002,Villard,It's My F---Ing Birthday,Merrill Markoe,Merrill Markoe,Merrill Markoe,8319134,Merrill Markoe,Q6820217,,United States of America,,,female,,1948.0,,Merrill Markoe,0812967240
9330,1551665301,Book Club,Mary Alice Monroe,1999,Mira,The Book Club,Mary Alice Monroe,Mary Alice Monroe,Mary Alice Monroe,52753947,Mary Alice Monroe,Q6778812,,United States of America,,,female,,1960.0,,Mary Alice Monroe,1551665301
9333,0064404773,Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1993,HarperCollins Publishers,Beauty,Robin McKinley,Robin McKinley,Robin McKinley,22732031,"Robin Mckinley, 1952-",Q3064461,,United States of America,,,female,,1952.0,,Robin McKinley,0064404773
9336,0380756234,Night Storm,Catherine Coulter,1990,Avon,Night Storm,Catherine Coulter,Catherine Coulter,Catherine Coulter,84052393,Catherine Coulter,Q2941863,,United States of America,,,female,,1942.0,,Catherine Coulter,0380756234
9340,0684852047,SPENDING: A Novel,Mary Gordon,1999,Scribner,Spending,Mary Gordon,Mary Gordon,Mary Gordon,110431409,"Mary Gordon, 1949-",Q433994,,United States of America,,,female,,1949.0,,Mary Gordon,0684852047
9343,0812589041,Ender's Game,Orson Scott Card,1999,Tor Books,Ender's Game,Orson Scott Card,Orson Scott Card,Orson Scott Card,116838661,"Orson Scott Card, 1951-",Q217110,,United States of America,,The Church of Jesus Christ of Latter-day Saints,male,,1951.0,,Orson Scott Card,0312853238
9354,1588720020,Crossing Over,John Edward,2001,John Edward (HAYLO),Crossing Over,John J. Edward,John J. Edward,John J. Edward,297651864,John J Edward,Q3181410,,United States of America,,,male,,1969.0,,John Edward,1588720020
9357,0345333853,Mists of Avalon,Marion Zimmer Bradley,1985,Del Rey Books,The Mists of Avalon,Marion Zimmer Bradley,Marion Zimmer Bradley,Marion Zimmer Bradley,66464308,"Marion Zimmer Bradley, 1930-1999",Q465179,lesbianism,United States of America,,,female,,1930.0,1999.0,Marion Zimmer Bradley,0345350499
9359,0060198125,Coastliners : A Novel,Joanne Harris,2002,William Morrow,Coastliners,Joanne Harris,Joanne Harris,Joanne Harris,51850630,"Joanne Harris, 1964-",Q234718,,United Kingdom,British English,,female,,1964.0,,Joanne Harris,0060198125
9361,0345452569,A Cold Heart (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2003,Ballantine Books,A Cold Heart,Jonathan Kellerman,Jonathan Kellerman,Jonathan Kellerman,2559502,"Jonathan Kellerman, 1949-",Q1349245,,United States of America,,,male,,1949.0,,Jonathan Kellerman,0345452550
9372,0385247958,1001 Things Everyone Should Know About Science,James Trefil,1992,Doubleday Books,1001 Things Everyone Should Know about Science,James Trefil,James Trefil,James Trefil,108204025,"James Trefil, 1938-",Q447567,,United States of America,,,male,,1938.0,,James Trefil,0385247958
9376,0449217191,The Edge,Dick Francis,1990,Fawcett Books,The Edge,Dick Francis,Dick Francis,Dick Francis,24601518,"Dick Francis, 1920-2010",Q314929,,"United Kingdom,Wales",,,male,,1920.0,2010.0,Dick Francis,0449217191
9380,0440127793,Galapagos,"Kurt, Jr. Vonnegut",1986,Dell,Galapagos,Kurt Vonnegut,Kurt Vonnegut,Kurt Vonnegut,71398958,"Kurt Vonnegut, 1922-2007",Q49074,,United States of America,English,"Unitarian Universalism,atheism",male,,1922.0,2007.0,Kurt Vonnegut,0440127793
9381,0156106809,The Baron in the Trees,Italo Calvino,1977,Harcourt,The Baron in the Trees,Italo Calvino,Italo Calvino,Italo Calvino,8520,"Italo Calvino, 1923-1985",Q154756,,"Italy,Kingdom of Italy",Italian,atheism,male,,1923.0,1985.0,Italo Calvino,0156106809
9382,0765108674,"Politically Correct, the Ultimate Storybook: Politically Correct Bedtime Stories, Once upon a More Enlightened Time, and Politically Correct Holiday Stories",James Finn Garner,1998,Smithmark Publishers,Politically Correct,James Finn Garner,James Finn Garner,James Finn Garner,55824930,James Finn Garner,Q15499484,,United States of America,,,male,,1960.0,,James Finn Garner,0765108674
9390,0385502532,Drowning Ruth,Christina Schwarz,2000,Doubleday,Drowning Ruth,Christina Schwarz,Christina Schwarz,Christina Schwarz,52741628,Christina Schwarz,Q18609288,,,,,female,,1962.0,,Christina Schwarz,0345439104
9395,0743236742,The Ultimate Weight Solution: The 7 Keys to Weight Loss Freedom,Phil McGraw,2003,Free Press,The Ultimate Weight Solution,Phillip C. McGraw,Phillip C. McGraw,Phillip C. McGraw,85362141,"Phillip C. McGraw, 1950-",Q204630,,United States of America,,,male,,1950.0,,Phil McGraw,0743236742
9397,1400060737,The Birth of Venus,Sarah Dunant,2004,Random House,The Birth of Venus,Sarah Dunant,Sarah Dunant,Sarah Dunant,90718533,"Sarah Dunant, 1950-",Q274500,,United Kingdom,,,female,,1950.0,,Sarah Dunant,1400060737
9399,0375413596,The White,Deborah Larsen,2002,Alfred A. Knopf,The White,Deborah Larsen,Deborah Larsen,Deborah Larsen,4099579,Deborah Larsen,Q95673471,,,,,female,,,,Deborah Larsen,0375413596
9400,034543739X,Until the Real Thing Comes Along (Ballantine Reader's Circle),ELIZABETH BERG,2000,Ballantine Books,An Angel at My Shoulder,Glennyce S. Eckersley,,Glennyce S. Eckersley,85419722,Elizabeth Berg,Q13563137,,United States of America,,,female,,1948.0,,Elizabeth Berg,034543739X
9401,0553268937,The Water Is Wide,PAT CONROY,1987,Bantam,The Water is Wide,Pat Conroy,Pat Conroy,Pat Conroy,9869643,"Pat Conroy, 1945-2016",Q2451348,,United States of America,,,male,,1945.0,2016.0,Pat Conroy,0553268937
9403,0060192704,"Beauty Fades, Dumb Is Forever: The Making of a Happy Woman",Judy Sheindlin,1999,Cliff Street Books,"Beauty Fades, Dumb Is Forever",Judy Sheindlin,Judy Sheindlin,Judy Sheindlin,79459348,"Judy Sheindlin, 1942-",Q2660811,,United States of America,American English,,female,American Jews,1942.0,,Judith Sheindlin,0060192704
9404,0890877033,Living Juicy: Daily Morsels for Your Creative Soul,Sark,1994,Celestial Arts,Living Juicy,Sark,Sark,Sark,44353874,Sarkis Paradjanian,Q311311,,Soviet Union,,,male,Armenians,1924.0,1990.0,Sergei Parajanov,0890877033
9405,0684835975,We'll Meet Again,Mary Higgins Clark,1999,Simon &amp; Schuster,We'll Meet Again,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671004565
9407,0380722704,Charms for Easy Life,Kaye Gibbons,1994,Avon,Charms for Easy Life,Kaye Gibbons,Kaye Gibbons,Kaye Gibbons,2493206,"Kaye Gibbons, 1960-",Q6380527,,United States of America,,,female,,1960.0,,Kaye Gibbons,0380722704
9414,0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam,The Bourne Supremacy,Robert Ludlum,Robert Ludlum,Robert Ludlum,109373898,"Robert Ludlum, 1927-2001",Q224113,,United States of America,,,male,,1927.0,2001.0,Robert Ludlum,0553263226
9420,0373218397,Summer Pleasures,Nora Roberts,2002,Silhouette,Summer Pleasures,Nora Roberts,Nora Roberts,Nora Roberts,66448023,"Nora Roberts, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0373218397
9449,0425179885,The Devil's Code,John Sandford,2004,Berkley Publishing Group,The Devil's Code,John Sandford,John Sandford,John Sandford,112432108,"John Sandford, 1944-",Q1701679,,United States of America,,,male,,1944.0,,John Sandford,0399146504
9453,0020442203,"Lion, the Witch and the Wardrobe",C.S. Lewis,1970,MacMillan Publishing Company.,"The Lion, the Witch and the Wardrobe",Clive Staples Lewis,,Clive Staples Lewis,22144877,"C.S.  Lewis, 1898-1963",Q9204,,United Kingdom,English,"atheist,Anglicanism",male,"British people,Irish people",1898.0,1963.0,C. S. Lewis,0020442203
9457,0425175111,A Stitch in Time (Needlecraft Mysteries),Monica Ferris,2000,Prime Crime,A Stitch in Time,Monica Ferris,Monica Ferris,Monica Ferris,256825509,Monica Ferris,,,,,,,,,,,0425175111
9458,0671001132,DEAD BY SUNSET : DEAD BY SUNSET,Ann Rule,1996,Pocket,Dead By Sunset,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0671001132
9459,0671793535,A Rose For Her Grave &amp; Other True Cases (Ann Rule's Crime Files),Ann Rule,1993,Pocket,A Rose For Her Grave & Other True Cases,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0671793535
9460,0671868691,Bitter Harvest,Ann Rule,1999,Pocket,Bitter Harvest,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0671868691
9461,0671793543,You Belong to Me and Other True Cases (Ann Rule's Crime Files: Vol. 2),Ann Rule,1994,Pocket,You Belong to Me and Other True Crime Cases,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0671793543
9462,0671025341,"A Rage To Kill and Other True Cases : Anne Rule's Crime Files, Vol. 6 (Ann Rule's Crime Files)",Ann Rule,1999,Pocket,A Rage To Kill and Other True Cases,Ann Rule,Ann Rule,Ann Rule,8777321,Ann Rule,,,,,,,,,,,0671025341
9466,0446601977,Parable of the Sower,Octavia E. Butler,1995,Warner Books,Parable of the Sower,Octavia E. Butler,Octavia E. Butler,Octavia E. Butler,34453955,Octávia E Butler,Q239739,,United States of America,,,female,African Americans,1947.0,2006.0,Octavia E. Butler,0446601977
9467,0393307050,Master and Commander (Aubrey-Maturin (Paperback)),Patrick O'Brian,1990,W. W. Norton &amp; Company,Master and Commander (Vol. Book 1) (Aubrey/Maturin Novels),Patrick O'Brian,Patrick O'Brian,Patrick O'Brian,99981648,"Patrick O'Brian, 1914-2000",Q355438,,United Kingdom,English,,male,,1914.0,2000.0,Patrick O'Brian,0393307050
9477,0679722637,The Thin Man (Vintage Crime/Black Lizard),Dashiell Hammett,1992,Vintage Books USA,The Thin Man,Dashiell Hammett,Dashiell Hammett,Dashiell Hammett,73854531,"Dashiell Hammett, 1894-1961",Q186335,,United States of America,,Catholic Church,male,,1894.0,1961.0,Dashiell Hammett,0679722637
9482,0375414053,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",Allison Pearson,2002,Alfred A. Knopf,I Don't Know how She Does it,Allison Pearson,Allison Pearson,Allison Pearson,23201016,"Allison Pearson, 1960-",Q4732812,,United Kingdom,,,female,,1960.0,,Allison Pearson,0375414053
9483,1400046610,Slander: Liberal Lies About the American Right,ANN COULTER,2002,Crown,Slander,Ann H. Coulter,Ann H. Coulter,Ann H. Coulter,70122833,"Ann H. Coulter, 1961-",Q266611,,United States of America,,Presbyterianism,female,,1961.0,,Ann Coulter,1400046610
9488,0441001971,Circus of the Damned (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1995,Ace Books,Circus of the Damned,Laurell K. Hamilton,Laurell K. Hamilton,Laurell K. Hamilton,39520379,"Laurell K. Hamilton, 1963-",Q298229,,United States of America,,,female,,1963.0,,Laurell K. Hamilton,0441001971
9489,0684810395,Pretend You Don't See Her,Mary Higgins Clark,1997,Simon &amp; Schuster,Pretend You Don't See Her,Mary Higgins Clark,Mary Higgins Clark,Mary Higgins Clark,100252785,"Mary Higgins Clark, 1927–2020",Q231736,,United States of America,,Catholic Church,female,,1927.0,2020.0,Mary Higgins Clark,0671867156
9490,0399143874,Homeport,Nora Roberts,1998,Putnam Publishing Group,Homeport,Nora Roberts,Nora Roberts,Nora Roberts,66448023,"Nora Roberts, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0399143874
9491,0070064601,Family: The Ties That Bind and Gag!,Erma Bombeck,1987,McGraw-Hill Companies,Family,Erma Bombeck,Erma Bombeck,Erma Bombeck,19674551,"Erma Bombeck, 1927-1996",Q455968,,United States of America,,,female,,1927.0,1996.0,Erma Bombeck,0070064601
9499,0373218419,Blithe Images,Nora Roberts,2003,Silhouette,Blithe Images,Nora Roberts,Nora Roberts,Nora Roberts,66448023,"Nora Roberts, 1950-",Q231356,,United States of America,English,,female,,1950.0,,Nora Roberts,0373218419
